WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
SPIRIT WOOD LAKE,North Dakota,Lake,47.0747225,-98.586389,0.437,1.67,8.799999997,3,34.66666667,2.576071429,0.168678571,16.123125,2.087037507,16
SWEET BRIAR RESERVOIR,North Dakota,Reservoir,46.8688885,-101.2645835,0.598,1.1,2.900000001,3,39,1.521333333,0.132999987,17.45071429,1.503683007,8
WHITMAN LAKE,North Dakota,Reservoir,48.185,-98.075,0.463,0.58,2.699999999,3,27.06666667,1.636,0.273066667,15.05733333,0.550334434,29
BEACH CITY RESERVOIR,Ohio,Reservoir,40.635556,-81.56,0.29,1.7,1.2,1,10.86666667,2.886,0.1446,18.12,0.279400559,21
BUCKEYE LAKE,Ohio,Lake,39.919537,-82.47259267,0.274,12.71,1.9,3,186.5666667,3.001764706,0.193117647,20.73529412,0.254000508,72
CHARLES MILL RESERVOIR,Ohio,Reservoir,40.75870367,-82.374352,0.3,5.46,1.699999999,3,67.14444444,2.0425,0.157849995,20.11578947,0.443089775,63
DEER CREEK RESERVOIR,Ohio,Reservoir,39.623426,-83.24212933,0.265,5.17,4.999999996,3,9.8875,3.48826087,0.105782604,19.56,0.758826518,51
DELAWARE RESERVOIR,Ohio,Reservoir,40.39657433,-83.065741,0.2854,5.26,3.300000001,3,10.85555556,3.068947368,0.099052621,20.3,0.403578585,30
DILLON RESERVOIR,Ohio,Reservoir,40.01759267,-82.115648,0.2343,5.36,3.000000002,3,27.4,2.984761905,0.173571424,19.25,0.476250953,57
GRANT LAKE,Ohio,Reservoir,39.005694,-83.9305555,0.2795,0.76,7.899999995,3,59.8,1.835,0.1915,23.075,0.355600711,45
HOOVER RESERVOIR,Ohio,Reservoir,40.16,-82.8799305,0.276,11.43,6.500000005,3,13.01666667,2.191509434,0.047830187,19.071875,0.946151892,32
INDIAN LAKE,Ohio,Reservoir,40.48879667,-83.887778,0.3037,24.82,2.3,3,76.85555556,2.227647059,0.104764706,18.37647059,0.375356306,51
LORAMIE LAKE,Ohio,Reservoir,40.3729165,-84.341528,0.291,3.18,1.5,3,104.1,3.06,0.186428571,18.275,0.152400305,64
MOSQUITO CREEK RESERVOIR,Ohio,Reservoir,41.3480555,-80.7541665,0.272,31.57,2.699999999,3,36.26666667,1.225882353,0.071529412,18.28571429,0.880535094,69
PLEASANT HILL LAKE,Ohio,Reservoir,40.6406945,-82.357222,0.311,3.44,4.799999996,3,22.85,1.009444444,0.038444444,18.09333333,1.096435526,59
LAKE SAINT MARYS,Ohio,Lake,40.52833325,-84.5055555,0.263,44.52,3.000000002,3,79.15,2.27875,0.187062494,17.27647059,0.402167471,68
ATWOOD RESERVOIR,Ohio,Reservoir,40.54770825,-81.24645825,0.282,6.23,4.700000001,3,16.44166667,0.935,0.034392857,19.072,0.96520193,43
BERLIN RESERVOIR,Ohio,Reservoir,41.00345243,-81.04083329,0.322,8.9,4.9,3,15.49565217,1.436031746,0.061952379,18.27804878,0.877958278,69
Holiday Lake,Ohio,Reservoir,41.097361,-82.7286115,0.2465,0.91,3.9,1,55.35,2.568333333,0.159,23.26363636,0.880535094,9
O'SHAUGNESSY RESERVOIR,Ohio,Reservoir,40.19712933,-83.13583333,0.266,3.35,4.799999996,3,5.522222222,4.113428571,0.253114286,19.88695652,0.524934383,28
ROCKY FORK LAKE,Ohio,Reservoir,39.185463,-83.47962967,0.269,8.17,5.099999999,3,38.02222222,1.63030303,0.091030297,20.396,0.685801372,41
SHAWNEE LAKE,Ohio,Lake,39.649028,-83.7805555,0.312,0.77,2.500000002,3,39.56666667,3.400555556,0.092555544,19.8875,0.651934637,28
TAPPAN LAKE,Ohio,Reservoir,40.33851867,-81.188611,0.279,9.51,4.600000003,3,37.71111111,1.0848,0.05384,19.12272727,0.860779499,28
Lake Altus,Oklahoma,Reservoir,34.90740733,-99.29675933,0.471,25.41,6.4,3,14.75,0.740344828,0.060862069,17.67409091,0.796926594,28
ARBUCKLE LAKE,Oklahoma,Reservoir,34.45388867,-97.02694467,0.293,9.51,9.400000009,3,7.622222222,0.525121951,0.022951217,19.2448,1.377952756,37
LAKE ELLSWORTH,Oklahoma,Reservoir,34.82076375,-98.3579165,0.376,22.66,5.099999999,3,8.43,0.61972973,0.03827027,19.01413793,1.031242062,26
LAKE EUFAULA,Oklahoma,Reservoir,35.268642,-95.57836433,0.1782,414.81,10.10000001,4,4.383333333,0.831833333,0.090699995,21.30240385,0.444157645,30
FORT COBB RESERVOIR,Oklahoma,Reservoir,35.20259267,-98.488889,0.408,16.47,6.4,3,14.96666667,0.845757576,0.045939394,18.26958333,1.15146897,44
FORT SUPPLY RESERVOIR,Oklahoma,Reservoir,36.5333335,-99.5701385,0.611,7.61,11.89999999,3,9.733333333,0.728571429,0.0695714,16.16466667,0.37676742,31
FOSS DAM RESERVOIR,Oklahoma,Reservoir,35.566389,-99.20879633,0.5,35.61,8.900000007,3,4.8625,0.712424242,0.028181818,17.62090909,0.918030407,32
LAKE FRANCES,Oklahoma,Reservoir,36.11833333,-94.515,0.292,2.31,1.8,3,7.973333333,2.010833333,0.1455,17.67916667,0.397934129,25
GRAND LAKE O' THE CHEROKEES,Oklahoma,Reservoir,36.59309529,-94.84142857,0.225,188.18,10.9,4,6.767857143,1.253833059,0.091651005,19.76271605,0.791030153,46
HEFNER LAKE,Oklahoma,Reservoir,35.57611133,-97.59481467,0.365,10.12,9.099999993,3,5.666666667,0.741785714,0.05675,18.17055556,0.990601981,21
KEYSTONE RESERVOIR,Oklahoma,Reservoir,36.22078291,-96.34863636,0.2611,106.43,7.699999997,3,21.4269697,1.214042553,0.18148936,19.33595506,0.398703828,39
OOLOGAH LAKE,Oklahoma,Reservoir,36.5420832,-95.6033333,0.194,119.22,5.700000004,4,5.136666667,0.975463918,0.07695876,19.15,0.431800864,23
TENKILLER FERRY RESERVOIR,Oklahoma,Reservoir,35.67395825,-94.975,0.192,51.19,15.15000001,4,6.645625,0.832667555,0.060826923,20.34547619,1.638303277,32
LAKE THUNDERBIRD,Oklahoma,Reservoir,35.230926,-97.24629633,0.3279,24.56,5.999999995,3,8.422222222,0.69825,0.032075,18.28555556,0.889001778,21
WISTER RESERVOIR,Oklahoma,Reservoir,34.9343055,-94.7475,0.143,16.19,2.3,4,4.8125,0.714375,0.098156247,20.26681818,0.546101092,34
BROWNLEE RESERVOIR,Oregon,Reservoir,44.711111,-117.0520556,0.8662,56.66,31.60000003,3,16.20666667,0.864946237,0.079494614,15.99333333,1.825416984,15
DIAMOND LAKE,Oregon,Lake,43.157639,-122.1519445,1.581,13,6.900000004,2,7.3,0.341428571,0.026785714,12.61666667,5.219710439,8
HELLS CANYON RESERVOIR,Oregon,Reservoir,45.13777767,-116.7523147,0.9217,10.12,20.39999998,3,18.72222222,0.778695652,0.063108685,17.43478261,1.800581379,18
HILLS CREEK RESERVOIR,Oregon,Reservoir,43.6854165,-122.423333,0.471,11.07,39.2,3,2.333333333,0.280769231,0.035333333,12.850625,1.645923292,7
OWYHEE,Oregon,Reservoir,43.48027775,-117.3323613,0.8425,56.25,24.59999999,3,3.35,0.718243243,0.095972966,14.28166667,0.497417662,11
OXBOW RESERVOIR,Oregon,Reservoir,44.92037033,-116.852315,0.7284,5.66,11.39999999,3,10.31111111,0.834444444,0.066511102,16.20384615,1.890892671,10
SUTTLE LAKE,Oregon,Lake,44.422222,-121.738889,1.049,1.09,9.900000009,3,9.166666667,0.320666667,0.0452,10.04125,10.28702057,13
WALDO LAKE,Oregon,Lake,43.716528,-122.04625,1.651,26.7,35.6,2,0.35,0.245714286,0.012214286,11.34,15.24003048,5
FISHING CREEK RESERVOIR,South Carolina,Reservoir,34.66009267,-80.88064833,0.127,13.64,5.400000002,3,2.811111111,0.878333333,0.143299997,23.35217391,0.431800864,32
LAKE GREENWOOD,South Carolina,Reservoir,34.254514,-81.9961805,0.135,46.14,6.800000005,3,8.15,0.862745098,0.074490194,24.13714286,0.9165185,42
LAKE HARTWELL,Georgia,Reservoir,35.14608573,-82.89772745,0.9048,226.43,13.89999999,3,5.645454545,0.43076087,0.015538043,24.95833333,2.36451382,33
LAKE MARION,South Carolina,Reservoir,33.512222,-80.35972233,0.024,447.59,3.999999997,3,8.727777778,0.763157895,0.060298239,23.65,0.757519162,56
LAKE MURRAY,South Carolina,Reservoir,34.07317457,-81.34841271,0.109,205.58,12.7,3,6.447619048,0.589855072,0.029173912,22.6254902,1.907422862,38
LAKE ROBINSON,South Carolina,Reservoir,34.438611,-80.15833333,0.066,8.68,4.300000004,3,8.611111111,0.793666667,0.014866667,25.49565217,1.047046539,24
LAKE WATEREE,South Carolina,Reservoir,34.41597225,-80.795,0.068,55.48,6.900000004,3,8.408333333,0.817659574,0.087872334,23.29375,0.618067903,51
LAKE WYLIE,South Carolina,Reservoir,35.122917,-81.02881925,0.1811,53.1,7,3,5.027272727,0.636153846,0.043844231,22.96969697,0.891310874,32
LAKE MOULTRIE,South Carolina,Lake,33.31551571,-80.04730157,0.022,263.05,5.700000004,2,8.8,0.637575758,0.032166667,23.98653846,1.133644373,34
LAKE KEOWEE,South Carolina,Reservoir,34.83986125,-82.90104175,0.243,69.41,15.2,3,2.833333333,0.354104991,0.009642857,24.65666667,3.257556515,27
SALUDA LAKE,South Carolina,Reservoir,34.866667,-82.487778,0.257,2.25,3.999999997,3,1.516666667,0.439473684,0.055684205,17.06875,0.58843451,27
LAKE ALBERT,South Dakota,Lake,44.55694467,-97.15972233,0.502,14.16,1.2,3,106.2888889,4.024,0.328066667,18.07266667,0.276578331,42
ALVIN LAKE,South Dakota,Reservoir,43.4354165,-96.620833,0.4115,0.44,3.699999999,3,4.7,1.936666667,0.08386666,18.11714286,1.452036237,6
ANGOSTURA RESERVOIR,South Dakota,Reservoir,43.30763875,-103.429514,0.971,19.55,9.099999993,3,3.716666667,0.537555556,0.021266667,17.0637931,1.947337228,16
BRANT LAKE,South Dakota,Lake,43.920417,-96.9468055,0.485,4.05,3.4,3,34.15,2.140714286,0.168357143,17.300625,1.706036745,6
LAKE BYRON,South Dakota,Lake,44.5693055,-98.1330555,0.38,5.86,2.400000002,3,149.35,2.427777778,0.485222222,19.33111111,0.296333926,18
CLEAR LAKE,South Dakota,Lake,45.6958335,-97.3583335,0.556,4.41,3.699999999,3,11.98333333,1.46125,0.036125,16.920625,1.773770214,16
CLEAR LAKE,South Dakota,Lake,43.756944,-97.012222,0.488,1.91,1.1,3,691,9.76,1.331333333,16.84,0.11853357,37
COCHRANE LAKE,South Dakota,Lake,44.7094445,-96.4819445,0.512,1.48,3.4,3,15.68333333,1.616842105,0.052,15.891875,1.371602743,26
COTTONWOOD LAKE,South Dakota,Lake,44.7922225,-98.676111,0.399,6.68,2.000000002,3,112.0166667,2.989,0.6645,19.1,0.245533824,19
DEERFIELD RESERVOIR,South Dakota,Reservoir,44.0213885,-103.7979165,1.798,1.68,10.5,3,3.65,0.320967742,0.047935484,14.32928571,4.995343324,16
ENEMY SWIM LAKE,South Dakota,Lake,45.441667,-96.270833,0.348,8.68,3.000000002,3,15.6,1.045555556,0.032555556,14.33,1.659469986,24
LAKE HERMAN,South Dakota,Lake,43.987083,-97.1695835,0.5168,5.46,1.699999999,3,58.73333333,2.481,0.3655,17.79909091,0.381000762,34
ST JOHN LAKE,South Dakota,Lake,44.566667,-97.1944445,0.503,4.86,1.2,3,99.03333333,3.548,0.3268,18.002,0.279400559,67
LAKE KAMPESKA,South Dakota,Lake,44.925463,-97.20972233,0.521,19.43,3.4,3,20.56666667,1.099,0.2096,17.501,0.790223803,16
MADISON LAKE,South Dakota,Lake,44.96101867,-97.021759,0.5797,11.33,3.000000002,3,22.57777778,2.622,0.35299999,17.55954545,1.382891655,34
LAKE MITCHELL,South Dakota,Reservoir,43.749583,-98.0423615,0.3895,2.71,3.699999999,3,14.88333333,1.056,0.106849985,18.11888889,0.867835069,47
LAKE NORDEN,South Dakota,Lake,44.593056,-97.2,0.504,3.02,2.100000001,3,46.8,2.028333333,0.233166667,19.72833333,0.287867242,37
OAKWOOD LAKE EAST,South Dakota,Lake,44.4388885,-96.96875,0.494,4.05,1.5,3,113.6,4.214166667,0.158416667,17.21583333,0.33020066,52
OAKWOOD LAKE WEST,South Dakota,Lake,44.19375,-96.997222,0.516,1.21,1.8,3,159.6666667,5.035833333,0.180583333,18.51916667,0.359834053,23
PACTOLA RESERVOIR,South Dakota,Reservoir,44.07527767,-103.5143517,1.396,3.48,16.4,3,1.477777778,0.278076923,0.027980769,15.42041667,6.38952389,10
PICKEREL LAKE,South Dakota,Lake,45.5,-97.2738885,0.562,3.86,6.1,3,15.83333333,1.17,0.085349995,15.48533333,1.52823639,30
LAKE POINSETT,South Dakota,Lake,44.56851867,-97.07407433,0.5,29.26,2.900000001,3,40.21111111,2.61,0.13904545,17.05681818,0.801512714,29
LAKE RED IRON SOUTH,South Dakota,Lake,45.504167,-96.275,0.356,2.51,2.100000001,3,6.883333333,1.607142857,0.043428571,17.66,1.769536872,19
RICHMOND LAKE,South Dakota,Reservoir,45.57037033,-98.612037,0.414,3.35,4.600000003,3,18.46666667,1.8225,0.20075,16.89130435,2.286004572,8
ROY LAKE,South Dakota,Lake,45.6958335,-97.4354165,0.549,6.85,3.300000001,3,13.33333333,1.992222222,0.035222222,17.31625,1.752603505,20
SAND LAKE,South Dakota,Reservoir,45.7225,-98.28018533,0.392,3.1,0.8,3,70.9,2.71,0.3962,20.13,0.660401321,56
SHERIDAN LAKE,South Dakota,Reservoir,43.974167,-103.46125,1.4245,1.56,10.20000001,3,15.43333333,0.6103125,0.060937497,16.265,2.692405385,27
STOCKADE LAKE,South Dakota,Reservoir,43.7655555,-103.515972,1.576,0.53,5.800000006,3,25.4,1.4772,0.381999996,15.94157895,1.727203454,23
LAKE VERMILLION,South Dakota,Reservoir,43.6030555,-97.1706945,0.436,2.23,3.699999999,3,100.8,2.384,0.186066653,17.724,0.690034713,10
WALL LAKE,South Dakota,Lake,45.5625,-96.9625,0.362,0.9,2.6,3,55.26666667,2.39,0.168857143,19.07857143,1.48166963,8
WAUBAY LAKE NORTH,South Dakota,Lake,45.41240767,-97.08657433,0.6113,14.16,2.699999999,3,127.0333333,4.442777778,0.125555544,16.71277778,0.773290435,19
LAKE BARKLEY,Kentucky,Reservoir,36.7762779,-87.9551668,0.154,234.4,4.600000003,3,12.72272727,0.730485437,0.136194175,21.46842105,0.676125162,41
BOONE RESERVOIR,Tennessee,Reservoir,36.44819475,-82.39770825,0.4396,17.8,13.3,2,11.41538462,1.194151652,0.05878378,22.33448276,1.471388657,26
CHEATHAM RESERVOIR,Tennessee,Reservoir,36.3123615,-87.1894445,0.118,30.15,4.300000004,3,8.16,0.749,0.14535,22.95333333,0.665481331,38
CHEROKEE LAKE,Tennessee,Reservoir,36.27384929,-83.32321429,0.3376,122.62,14.89999999,3,12.16190476,1.285823814,0.068268517,22.24561404,1.303869274,34
CHICKAMAUGA LAKE,Tennessee,Reservoir,35.28662033,-85.07694433,0.208,143.25,5.400000002,3,3.111111111,0.640722892,0.031987952,21.33454545,0.918635171,31
DOUGLAS LAKE,Tennessee,Reservoir,36.00351867,-83.40125,0.3235,123.03,14.10000001,3,4.552941176,0.749310345,0.038413791,22.40217391,1.452285258,25
FORT LOUDON RESERVOIR,Tennessee,Reservoir,35.88039686,-84.03126986,0.2947,59.09,7.599999995,3,4.776190476,0.967954545,0.060511356,20.4862069,0.874487463,30
GREAT FALLS LAKE,Tennessee,Reservoir,35.80958325,-85.52222225,0.2575,12.38,4.999999996,3,3.983333333,0.714166667,0.025520833,20.91176471,1.41181949,25
NICKAJACK RESERVOIR,Tennessee,Reservoir,35.0338195,-85.462986,0.3126,41.97,7.100000005,3,2.741666667,0.8378,0.07248,21.66666667,1.020235374,26
OLD HICKORY LAKE,Tennessee,Reservoir,36.2960554,-86.5471112,0.155,91.06,5.6,3,8.930769231,0.619846154,0.064430763,20.61111111,0.767863074,36
WATTS BAR RESERVOIR,Tennessee,Reservoir,35.80694463,-84.565,0.259,157.82,7.899999995,3,5.55,0.739029126,0.033145631,20.57727273,0.958851918,37
J. PERCY PRIEST RESERVOIR,Tennessee,Reservoir,36.0877778,-86.5451668,0.149,57.47,8.500000006,3,9.993333333,0.826585366,0.093817071,22.695,1.772923546,40
TIM'S FORD RESERVOIR,Tennessee,Reservoir,35.21550933,-86.221991,0.2793,42.9,15.2,3,6.738888889,0.717,0.047908333,23.29090909,2.58657184,35
SOUTH HOLSTON LAKE,Tennessee,Reservoir,36.56729175,-82.04750025,0.5612,30.68,26.40000001,3,7.666666667,0.804888889,0.017755556,21.63666667,2.419354839,30
REELFOOT LAKE,Tennessee,Lake,36.39972225,-89.39159725,0.086,36.42,1.400000001,3,80.95833333,1.914,0.256879996,23.716,0.560917789,48
WOODS RESERVOIR,Tennessee,Reservoir,35.30722225,-86.059375,0.293,16.11,5.700000004,3,7.391666667,0.736545455,0.020709091,22.44444444,1.801286936,24
AMISTAD LAKE,Texas,Reservoir,29.5708332,-101.1647222,0.395,262.48,16.49999999,4,2.042105263,0.800967742,0.015419355,22.84357143,3.26457495,25
BASTROP LAKE,Texas,Reservoir,30.15509267,-97.28879667,0.137,3.67,5.6,3,12.39166667,0.527380952,0.022,27.59,2.034120735,30
BELTON RESERVOIR,Texas,Reservoir,31.15222225,-97.50361125,0.181,50.27,10.79999999,4,8.025,0.57265625,0.03759375,22.72114286,3.090868682,37
BRAUNIG LAKE,Texas,Reservoir,29.2472225,-98.3791665,0.153,5.46,5.999999995,4,22.7625,1.09173913,0.155782609,27.7012,0.974726949,46
BROWNWOOD LAKE,Texas,Reservoir,31.84215275,-99.04430525,0.4501,29.54,5.999999995,4,4.8875,0.5225,0.033767854,21.3997561,0.752476505,33
LAKE BUCHANAN,Texas,Reservoir,30.826389,-98.4243055,0.31,93.32,13.10000001,3,8.60625,0.64852459,0.051278689,22.5165,1.584328169,33
CALAVERAS LAKE,Texas,Reservoir,29.30370367,-98.31481467,0.147,13.96,5.499999994,4,22.5,0.773870968,0.048967739,26.41342857,0.973668614,65
CANYON RESERVOIR,Texas,Reservoir,29.8825695,-98.25124975,0.2856,33.35,14.00000001,4,2.5,0.699864865,0.013851351,23.55769231,2.925768352,20
LAKE COLORADO CITY,Texas,Reservoir,32.3329165,-100.9243055,0.631,6.52,5.999999995,4,12.675,0.819047619,0.041857138,25.01090909,0.66992634,56
CORPUS CRISTI LAKE,Texas,Reservoir,28.10701375,-97.899931,0.028,88.63,4.199999996,4,19.75625,0.7242,0.14852,25.9093617,0.63023876,55
DIVERSION LAKE,Texas,Reservoir,33.797778,-98.95990733,0.321,13.84,3.699999999,3,15.86666667,0.614833333,0.03724,22.23,0.759179296,38
EAGLE MOUNTAIN LAKE,Texas,Reservoir,32.913542,-97.488889,0.197,36.42,6.4,4,5.6625,0.4558,0.03376,21.66875,0.771526543,45
FT PHANTOM HILL LAKE,Texas,Reservoir,32.59518533,-99.680463,0.5063,10.93,5.6,4,6.316666667,0.598409091,0.075386357,20.90645161,0.637310366,25
LAKE LEWISVILLE,Texas,Reservoir,33.11703717,-96.9800925,0.156,93.93,5.999999995,4,14.15652174,0.781162791,0.115604648,21.85901639,0.615122969,23
KEMP LAKE,Texas,Reservoir,33.7519445,-99.225347,0.348,62.17,5.300000005,4,10.21666667,0.52974359,0.02825641,19.38258065,1.143002286,28
HOUSTON LAKE,Texas,Reservoir,29.99590275,-95.1374305,0.013,49.53,3.699999999,4,16.65,0.970344828,0.098965507,24.87025641,0.350838202,46
LAKE OF THE PINES,Texas,Reservoir,32.7975695,-94.58951375,0.0791,75.27,4.100000003,4,12.91875,0.567209302,0.044558135,22.65309524,1.524003048,49
LAVON RESERVOIR,Texas,Reservoir,33.0655555,-96.478889,0.143,86.43,6.500000005,4,5.4,0.562439024,0.067317068,22.11315789,0.372534078,15
LIVINGSTON LAKE,Texas,Reservoir,30.78180575,-95.1599305,0.039,334.28,6.500000005,4,16.1125,1.322857143,0.245919642,24.28714286,0.877095504,40
LYNDON B JOHNSON LAKE,Texas,Reservoir,30.59333333,-98.39305533,0.256,25.8,6.700000005,3,8.1,0.820638298,0.045255319,23.27366667,1.10490221,30
MEDINA LAKE,Texas,Reservoir,29.564375,-98.941111,0.3342,22.56,13.89999999,4,12.94375,0.746533333,0.014506667,23.29444444,2.449517399,26
LAKE MEREDITH,Texas,Reservoir,35.6454165,-101.649097,0.895,66.77,16.00000001,4,3.0375,0.468815789,0.028473684,14.91974359,1.541465583,33
PALESTINE LAKE,Texas,Reservoir,32.12659725,-95.45534725,0.105,103.44,4.9,4,10.61875,0.658085106,0.034425532,22.95319149,1.457327915,57
POSSUM KINGDOM RESERVOIR,Texas,Reservoir,32.8872685,-98.5019445,0.303,80.13,11.20000001,4,9.495454545,0.571666667,0.031175925,21.70962264,2.056249567,40
SAN ANGELO RESERVOIR,Texas,Reservoir,31.484167,-100.483611,0.581,21.85,6.500000005,4,24.675,1.011,0.0896,21.21,0.482600965,73
SAM RAYBURN RESERVOIR,Texas,Reservoir,31.2121295,-94.24851867,0.0717,463.48,7.699999997,4,6.266666667,1.927735043,0.413410255,23.16828125,1.537761409,43
E V SPENCE RESERVOIR,Texas,Reservoir,31.94444433,-100.5869443,0.578,25.62,6.700000005,3,11.775,0.672222222,0.035611106,20.13527778,0.950385234,36
SOMERVILLE LAKE,Texas,Reservoir,30.296944,-96.661389,0.073,46.38,4.300000004,4,23.2,0.996666667,0.109833333,23.5875,0.266700533,83
STAMFORD LAKE,Texas,Reservoir,33.05770825,-99.59847225,0.431,19,3.499999997,4,18.45714286,0.901395349,0.076883712,20.63717949,0.439058021,50
STILLHOUSE HOLLOW RESERVOIR,Texas,Reservoir,31.064352,-97.475741,0.1796,26.02,11.29999999,4,3.916666667,0.4082,0.02412,23.5425,2.381254763,26
TAWAKONI LAKE,Texas,Reservoir,32.89291667,-96.01481483,0.1362,148.52,7.699999997,4,18.24583333,0.668615385,0.058923072,22.04378788,0.853018373,64
WRIGHT-PATMAN,Texas,Reservoir,33.28555575,-94.23291675,0.068,126.13,3.000000002,4,19.11875,0.755555556,0.118444441,21.73,0.546101092,71
TEXOMA LAKE,Texas,Reservoir,33.91396814,-96.68825414,0.188,360.18,5.700000004,4,12.49259259,0.641263158,0.059915785,21.21842105,1.236438187,42
TRAVIS LAKE,Texas,Reservoir,30.42069433,-98.01726833,0.2182,76.61,18.89999999,4,5.595454545,0.638962264,0.023330189,23.76808511,2.796214288,25
TRINIDAD,Texas,Reservoir,32.115278,-96.095833,0.086,2.99,3.100000001,4,24.3,1.908333333,0.379833333,27.45333333,0.520701041,62
TWIN BUTTES RESERVOIR,Texas,Reservoir,31.34120367,-100.526389,0.593,36.5,6.299999993,4,8.708333333,0.75027027,0.035027027,20.58060606,1.145118957,56
WHITE RIVER RESERVOIR,Texas,Reservoir,33.47120367,-101.0866667,0.722,7.32,6.500000005,4,4.333333333,0.611212121,0.019212121,18.63931034,1.663703327,27
WHITNEY LAKE,Texas,Reservoir,31.935764,-97.4133335,0.159,95.35,8.100000002,4,6.9125,0.623846154,0.031584615,22.55825,1.765303531,44
BEAR LAKE,Idaho,Lake,41.98789671,-111.3325001,1.806,171.59,10.20000001,3,0.805,0.259164118,0.016138889,13.82307692,5.999250094,9
LOWER BOWN'S RESERVOIR,Utah,Reservoir,37.983611,-111.270278,2.247,0.36,0.1,3,5.566666667,0.523,0.0373,14.32857143,4.165608331,7
DEER CREEK RESERVOIR,Utah,Reservoir,40.43749967,-111.5005553,1.652,9.66,19.89999998,3,9.077777778,0.579772727,0.045431818,16.91818182,1.769536872,11
ECHO RESERVOIR,Utah,Reservoir,40.9505555,-111.4151385,1.695,5.95,15.30000001,3,6.966666667,0.48,0.057279996,15.06875,1.261535856,9
FISH LAKE,Utah,Lake,38.556389,-111.704815,2.696,10.12,25.9,2,12.48333333,0.640740741,0.036037037,16.67,8.839217678,24
HUNTINGTON NORTH RESERVOIR,Utah,Lake,39.3425,-110.944444,1.779,0.93,5.200000004,3,1.9,0.408888889,0.014555556,17.1625,2.743205486,10
JOE'S VALLEY RESERVOIR,Utah,Reservoir,39.298611,-111.2754165,2.131,4.74,16.29999998,3,2.483333333,0.5259375,0.0130625,16.26923077,2.54000508,9
MINERSVILLE RESERVOIR,Utah,Reservoir,38.2258335,-112.824028,1.675,4.01,5.6,3,33.58333333,1.022222222,0.241055556,16.1,1.397002794,15
MOON LAKE,Utah,Lake,40.5641665,-110.497361,2.4875,3.12,14.10000001,2,2.7,0.318636364,0.008727273,15.16,3.022606045,5
NAVAJO LAKE,Utah,Lake,37.523611,-112.792361,2.753,2.5,3.699999999,3,2,0.495,0.016375,16.7375,3.352806706,11
NEWCASTLE RESERVOIR,Utah,Reservoir,37.65,-113.516667,1.734,0.66,7.199999993,3,12.46666667,0.52,0.05375,16.0625,1.81187029,21
OTTER CREEK RESERVOIR,Utah,Reservoir,38.185972,-112.004028,1.943,10.2,6.299999993,3,11.76666667,0.538636364,0.072590905,15.09411765,1.17686902,14
PANQUITCH LAKE,Utah,Lake,37.715417,-112.642361,2.504,4.99,6.4,2,45.95,1.181538462,0.070923077,16.34,1.866903734,8
PELICAN LAKE,Utah,Lake,40.1916665,-109.679583,1.461,6.88,3.000000002,3,6.35,0.977142857,0.045214286,17.71428571,1.562103124,18
PINEVIEW RESERVOIR,Utah,Reservoir,41.2650695,-111.8109028,1.491,10.12,13.39999999,3,5.691666667,0.667818182,0.036036362,16.61818182,1.648886631,15
PIUTE RESERVOIR,Utah,Reservoir,38.29879633,-112.1996297,1.82,10.15,10.10000001,3,25.32857143,0.732916667,0.059041667,13.56,0.441325883,26
PORCUPINE RESERVOIR,Utah,Reservoir,41.51875,-111.7365275,1.641,0.77,20.09999998,3,7.86,0.430769231,0.037346154,15.97272727,1.524003048,10
PRUESS RESERVOIR (GARRISON),Utah,Lake,38.883333,-114.0125,1.629,1.46,5.800000006,3,4.533333333,0.984,0.0582,12.76666667,0.228600457,8
SEVIER BRIDGE RESERVOIR,Utah,Reservoir,39.34583325,-112.2186805,2.168,44.52,6.500000005,3,18.22222222,1.135882353,0.035764706,15.50416667,1.275646996,35
STARVATION RESERVOIR,Utah,Reservoir,40.188125,-110.4659028,1.74,11.17,19.89999998,3,5.675,0.328,0.01642,13.65925926,2.677588689,10
STEINAKER RESERVOIR,Utah,Reservoir,40.513611,-109.534537,1.683,3.32,14.00000001,3,1.844444444,0.249166667,0.013222222,16.9,4.654559309,7
TROPIC RESERVOIR,Utah,Reservoir,37.6048615,-112.251667,2.395,0.73,3.000000002,3,7.2,0.415714286,0.018571429,13.35,1.90500381,8
UTAH LAKE,Utah,Lake,40.22694438,-111.8135763,1.369,396.6,2.100000001,3,72.0125,1.466222222,0.171244444,16.82045455,0.239183812,28
WILLARD BAY RESERVOIR,Utah,Reservoir,41.37756925,-112.0888195,1.288,40.47,5.900000005,3,7.566666667,0.659444444,0.046944444,19.62333333,1.087583993,8
CLAYTOR LAKE,Virginia,Reservoir,37.02770825,-80.66944425,0.562,18.19,29.00000001,2,5.641666667,0.791864407,0.031677966,20.66666667,1.536703073,24
JOHN W. FLANNAGAN,Virginia,Reservoir,37.1962778,-82.3918336,0.4985,4.63,18,3,5.954545455,0.539193548,0.012677419,20.24230769,2.141224282,16
JOHN H. KERR RESERVOIR,Virginia,Reservoir,36.60620383,-78.49370367,0.091,198.25,10.70000001,3,8.833333333,0.672625,0.052174999,22.2212766,1.042989586,44
