WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
DILLON RESERVOIR,Colorado,Reservoir,39.5952775,-106.0509723,2.75,12.76,24.59999999,2,3.15,0.231538462,0.010153846,12.0125,8.083566167,6
GRAND LAKE,Colorado,Lake,40.242222,-105.8118055,2.551,2.05,41.30000003,2,4.9,0.273571429,0.027607143,11.25,3.390906782,6
GREEN MOUNTAIN RESERVOIR,Colorado,Reservoir,39.86074067,-106.28,2.425,8.6,22.19999998,2,5.833333333,0.252758621,0.011068966,13.32307692,2.764372195,4
HOLBROOK LAKE,Colorado,Reservoir,38.0625,-103.610556,1.269,2.72,2.500000002,3,111.9333333,2.62,0.274333333,17.82333333,0.245533824,23
LAKE MEREDITH,Colorado,Reservoir,38.20055533,-103.6942593,1.297,13.03,2.500000002,3,164.6777778,5.198888889,0.394555556,17.94444444,0.262467192,33
MILTON RESERVOIR,Colorado,Reservoir,40.232222,-104.63875,1.463,8.41,7.299999998,3,5.9,3.038,0.925466667,16.5,1.794936923,19
NAVAJO RESERVOIR,New Mexico,Reservoir,36.910754,-107.5139286,2.0197,63.25,33.30000004,2,2.168421053,0.352,0.031075,15.4254902,1.617582183,5
SHADOW MOUNTAIN LAKE,Colorado,Reservoir,40.22231467,-105.8413887,2.551,5.48,3.800000003,2,5.7,0.313888889,0.023611111,9.8,1.854203708,16
KILLEN POND,Delaware,Reservoir,38.981111,-75.530556,0.004,0.3,1.5,2,116.2,2.99,0.19075,19.4,0.524934383,20
MOORES LAKE,Delaware,Reservoir,39.126111,-75.519444,0.004,0.1,1.1,2,81.26666667,3.44,0.243,18.03333333,0.694268055,48
NOXONTOWN POND,Delaware,Reservoir,39.4266665,-75.6865275,0.001,0.64,1.1,3,37.6,2.003333333,0.163666667,18.17777778,0.537634409,56
SILVER LAKE,Delaware,Reservoir,39.4375,-75.694444,0.001,0.15,1.5,2,26.7,5.361666667,0.194833333,17.5,0.872068411,30
WILLIAMS POND,Delaware,Reservoir,38.647361,-75.5990275,0.0018,0.34,1.2,3,30.1,2.321111111,0.056777778,20.52,1.286935907,48
TRUSSUM POND,,Reservoir,38.522778,-75.513333,0.013,0.22,1.2,1,5.1,1.433333333,0.033333333,18.26666667,0.914401829,13
ALLIGATOR LAKE,Florida,Lake,30.1668055,-82.631389,0.029,1.37,1.5,3,87.73333333,2.717777778,0.752555556,23.2,0.660401321,57
LAKE APOPKA,Florida,Lake,28.6175,-81.6200925,0.019,125.4,1.699999999,3,46.61111111,4.012105263,0.116736837,25.78888889,0.401918451,41
LAKE CRESCENT,Florida,Lake,29.44398133,-81.49999967,0.001,70.61,2.000000002,3,10.21111111,1.391176471,0.072941176,23.45555556,0.663223549,51
DOCTORS LAKE,Florida,Lake,30.128611,-81.72898167,0.001,12.96,3.000000002,3,27.1,1.5455,0.084899985,22.585,0.874890639,72
LAKE DORA,Florida,Lake,28.78981467,-81.68472233,0.018,22.37,3.000000002,3,59.97777778,3.423916667,0.100562488,24.895,0.434623091,50
LAKE EFFIE,Florida,Lake,27.909167,-81.606111,0.034,0.41,1,2,261.4333333,4.996666667,1.446666667,26.5,0.279400559,52
LAKE GEORGE,Florida,Lake,29.3055554,-81.6050002,0.001,186.16,3.000000002,3,35,1.568664021,0.131518511,23.56428571,0.779586175,56
LAKE GIBSON,Florida,Lake,28.1086805,-81.96041675,0.043,1.92,2.000000002,3,19.675,1.338571429,0.169428571,25.025,0.762001524,59
GLENADA LAKE,Florida,Lake,27.563611,-81.505972,0.035,0.72,4.500000002,2,27.66666667,1.277272727,0.133409086,24.42777778,1.164168995,51
LAKE GRIFFIN,Florida,Lake,28.84342633,-81.85537033,0.017,35.6,2.900000001,3,66.85555556,3.389166667,0.116749992,24.6,0.474134282,58
LAKE HAINES,Florida,Lake,28.09,-81.708611,0.038,2.9,2.500000002,2,26.56666667,1.11125,0.062624975,23.65,0.948268563,50
LAKE HORSESHOE,Florida,Lake,28.637222,-81.1375,0.011,0.38,1.2,2,12.06666667,1.01,0.0516,24.3,1.041402083,17
LAKE HOWELL,Florida,Lake,28.6395835,-81.3098615,0.015,1.6,2.500000002,3,54.11666667,1.658333333,1.268333333,25.11666667,0.914401829,48
LAKE ISTOKPOGA,Florida,Lake,27.37236117,-81.280324,0.011,112.07,1.8,2,6.594444444,1.141111111,0.043888889,26.55925926,0.908757373,33
LAKE JESSUP,Florida,Lake,28.724861,-81.2094445,0.001,32,1.1,2,76.55,2.72,0.504833333,26.2,0.33020066,40
LAKE KISSIMMEE,Florida,Lake,27.914167,-81.26479175,0.014,141.4,1.8,3,24.14166667,1.604545455,0.037227273,24.71153846,0.922868512,54
LAKE LULU,Florida,Lake,27.995833,-81.721389,0.039,1.22,1.5,2,276.5666667,5.561666667,1.483333333,24.94285714,0.431800864,33
LAKE MARION,Florida,Lake,28.0775,-81.5338195,0.019,12.82,1.299999999,3,29.96666667,2.16,0.048,25.83333333,0.791634917,37
LAKE MINNEHAHA,Florida,Lake,28.631667,-81.355556,0.019,0.39,3.000000002,2,8.733333333,0.705,0.054333333,25.38333333,1.651003302,39
LAKE MINNEOLA,Florida,Lake,28.57351867,-81.772778,0.028,7.64,2.699999999,3,3.333333333,0.633888889,0.019888889,25.16666667,2.379138092,23
LAKE MONROE,Florida,Lake,28.835278,-81.286574,0.001,35.5,1.8,3,14.225,1.927894737,0.197,25.47368421,0.646290181,50
LAKE OKEECHOBEE,Florida,Lake,26.943611,-80.8147222,0.004,1890.71,2.799999998,3,14.52413793,1.8198,0.06409999,25.98085106,0.70188807,37
LAKE POINSETT,Florida,Lake,28.3418055,-80.843056,0.003,17.6,1.5,3,6.5,1.732,0.07869999,25.37777778,0.787401575,20
LAKE REEDY,Florida,Lake,27.7394444,-81.500111,0.023,14.11,3.300000001,3,34.8375,2.007222222,0.0365,24.97619048,0.8001016,33
LAKE SOUTH,Florida,Lake,28.616389,-80.868889,0.004,4.46,0.899999999,2,23.16666667,1.556666667,0.0723333,24.95,0.914401829,27
LAKE TALQUIN,Florida,Reservoir,30.429097,-84.55375,0.033,43.7,2.799999998,3,9.483333333,0.77975,0.095849993,25.17575758,0.960968589,30
LAKE TOHOPEKALIGA,Florida,Lake,28.2124305,-81.38638875,0.015,76.2,2.400000002,3,30.63333333,1.870952381,0.324571429,25.45714286,0.687918043,60
TROUT LAKE,Florida,Lake,28.866111,-81.683056,0.018,0.41,1.5,2,76.96666667,2.828,1.064,24.31666667,0.711201422,44
LAKE WEOHYAKAPKA,Florida,Lake,27.821759,-81.41740767,0.018,30.5,1.600000001,2,7.766666667,0.827333333,0.0446,25.26315789,1.049868766,43
LAKE YALE,Florida,Lake,28.916389,-81.737361,0.017,15.95,3.699999999,2,25.36666667,1.37,0.0273125,25.08823529,1.498602997,27
LAKE MUNSON,Florida,Lake,30.3683335,-84.307639,0.007,1.03,1.5,3,140.3166667,5.433333333,1.906666667,24.6625,0.338667344,53
LAKE SEMINOLE,Florida,Lake,27.8555555,-82.7805555,0.001,1.85,2.699999999,3,102,2.57375,0.234375,25.65555556,0.664634663,80
LAKE LAWNE,Florida,Lake,28.563056,-81.436944,0.026,0.63,1.1,2,84.9,5.463333333,2.75,26.1,0.135466938,4
LAKE TARPON,Florida,Lake,28.112037,-82.72009267,0.002,10.25,2.500000002,3,6.866666667,0.778095238,0.036571429,24.10434783,2.517427257,16
LAKE ELOISE,Florida,Lake,27.9840275,-81.7054165,0.039,4.69,3.000000002,3,70.23333333,2.3325,0.4963125,23.57058824,0.880535094,56
LAKE JESSIE,Florida,Lake,28.056389,-81.763333,0.039,0.77,2.000000002,2,26.3,0.948571429,0.051428571,24.6,1.202269071,52
EAST LAKE TOHOPEKALIGA,Florida,Lake,28.29777775,-81.28208325,0.017,49.3,2.699999999,3,5.166666667,0.96037037,0.037407407,24.57307692,1.502836339,48
ALLATOONA RESERVOIR,Georgia,Reservoir,34.1466112,-84.6627222,0.256,48,9.400000009,3,6.493333333,0.587164179,0.027522388,21.97619048,1.393616121,34
BLACKSHEAR LAKE,Georgia,Reservoir,31.925486,-83.93638875,0.079,34.46,5.300000005,3,1.854545455,0.653513514,0.048594595,24.69,0.81049253,17
CHATUGE LAKE,Georgia,Reservoir,34.948889,-83.755833,0.605,28.94,10.59999999,3,5.188888889,0.35255814,0.014767442,22.45454545,2.331160218,35
CLARK HILLS RESERVOIR,Georgia,Reservoir,33.83015136,-82.43545464,0.1194,283.29,10.9,3,6.715151515,0.465659341,0.026527472,24.89333333,1.543053086,38
JACKSON LAKE,Georgia,Reservoir,33.3637222,-83.859889,0.16,19.22,6.900000004,3,14.57692308,1.616603774,0.218075468,22.23157895,0.980832731,57
LAKE SIDNEY LANIER,Georgia,Reservoir,34.26293967,-83.965324,0.3276,161.47,19.49999998,3,5.430555556,0.561569507,0.026443945,24.20232558,2.631021929,36
NOTTELY RESERVOIR,Georgia,Reservoir,34.92898133,-84.078611,0.542,17.36,13.10000001,3,6.655555556,0.361964286,0.01842857,22.05833333,2.396071459,31
SINCLAIR LAKE,Georgia,Reservoir,33.19203717,-83.25217583,0.1031,62.17,6.600000007,3,8.005555556,0.606296296,0.03319753,24.49166667,1.507069681,53
