"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"062","IDAHO","DRORSHAK RESERVOIR","CLEARRATER","1604",NA,NA,"6319.6","76.89","55.5","196.78","18","13","2.5","0.01","0.009","0.08","0.26","570",NA,NA,"114745","115315","1700",NA,NA,"3246250",NA,"84025","27","1.5","1892860","42","42.2"
"063","IDAHO","HAUSER LAKE","KOOTENAI",NA,"NATURAL",NA,"2.43","1.2",NA,NA,"24","42","3.4","0.028","0.013","0.075","0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"064","IDAHO","HAYDEN LAKE","KOOTENAI","1606","NATURAL",NA,"161.4","17","7.3","2","30","32","6.5","0.01","0.003","0.04","0.22",NA,NA,"180","1315","1495",NA,NA,"6785",NA,"62000",NA,"90099","0.09",NA,"90","3.6"
"065","IDAHO",NA,"FREMONT","1607","IMPOUNDMENT","1245.8","31.54","5","13.56","109","71","120","2.8","0.034","0.012",NA,"0.32",NA,NA,"30","9975","10005",NA,NA,"1065","142730",NA,"22550",NA,NA,"459510",NA,"4.6"
"066","IDAHO","LAKE LOMELL","CANYON","1608","IMPOUNDMENT",NA,"39.8","5.9","10.16","262","90","199","0.6","0.07","0.015","0.07","0.69",NA,NA,"10","32090","32100",NA,NA,"340","282160",NA,"18195","43","0.81","304500",NA,"7.1"
"067","IDAHO","MAGIC RESERVOIR","CAMAS BLAINE","1609","IMPOUNDMENT","4144","15.8","15","15.42","175","94","166","2.5","0.062","0.02","0.13","0.42","8770",NA,"5","31975","40750","32255",NA,"110","376630",NA,"16845","59","2.58","359260","12","25.9"
"068","IDAHO","PALISAOES RESERVOIR","RONNEVILLE ID, LINCOLN MY","1610","IMPOUNDMENT","13571.6","61.31","28.2","181.05","108","112","225","3.9","0.024","0.007","0.08","0.27","165",NA,"10","383070","383245","4895",NA,"460","3585375","3590730","126270","67","6.25","2920000","19","58.6"
"069","IDAHO","PAYETTE LAKE","VALLEY","1611","NATURAL",NA,"373","21.6","5.7","10.58","12","18","6.8","0.013","0.007","0.06","0.24",NA,NA,"535","197510",NA,NA,NA,NA,NA,NA,"118875","40","9.2",NA,NA,NA
"070","IDAHO","LORER TRIN LAKES","KOOTENAI","1612","IMPOUNDMENT","133.4","16.35","2.3","2.14","1.8","15","22","3.3","0.016","0.009","0.05","0.32",NA,NA,"120","1790","1910",NA,NA,"4465","47180",NA,"235","88","0.12","7610","85","3.2"
"071","IDAHO","UPPER THIN LAKES","KOOTENAI","1613","IMPOUNDMENT","133.4","16.35","2.3","2.14","1.8","14","20","3.3","0.017","0.004","0.045","0.42",NA,NA,"120","1790","1910",NA,NA,"4465","47180",NA,"235","88","0.12","7610","85","3.2"
