"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"024","DELAWARE","KILLEN POND","KENT","1002",NA,"46.4","0.3","1.5","0.68","8","17","100","0.5","0.17","0.042","1.61","2.55","15","2345","5","2155",NA,"90","12320","10","53550","65970","2410","47","15.07","62450","5","219.9"
"026","DELAWARE","NOXONTOMN POND","NEH CASTLE","1007",NA,"24.4","0.64","1.1","0.42","20","32","143","0.5","0.16","0.016","0.53","2.2","475",NA,"5","1975","2455","1600",NA,"20","39395","41015","1355","45","3.84","22735","45","64.1"
"027","DELAWARE","SILVER LAKE","NEU CASTLE","1000",NA,"19.5","0.15","1.5","0.33","0","20","217","0.9","0.227","0.09","4.75","5.35","2155",NA,"5","2710","4070","4045",NA,"100","70010","75015","2520",NA,"32.47","50035",NA,"22"
"028","DELAWARE","TRUSSUM POND","SUSSEX","1010",NA,"38.6","0.22","1.2","0.53","6","10","70","0.9","0.033","0.011","1.23","1.8",NA,NA,"1","300","301",NA,NA,"20","36640","36660","250",NA,"1.73","27560",NA,"166.6"
"029","DELAWARE","HILLIAMS POND","SUSSEX","1009",NA,NA,NA,"0.34",NA,NA,NA,NA,NA,"100",NA,NA,"0.0421",NA,NA,NA,"5",NA,NA,NA,NA,NA,"5",NA,"-2155","3","129955","20",NA
"030","FLORIDA","ALLIGATOR LAKE","COLUMBIA","1201","NATURAL",NA,"39.9","1.37","1.5","0.4",NA,NA,"0.7",NA,NA,"386","0.26",NA,"15130",NA,"5","6290","43365",NA,"160","39690","33235","11375","45","15.64","43140","40","60.8"
"031","FLORIDA","LAKE APOPMA","ORANGE LAKE","1202","NATURAL","476.6","125.4","1.7","2.73","2.5","121","358","0.4","0.102","0.019","0.23",NA,"9645",NA,"51265","80",NA,"24100","130110","2920","260600","417730","35925","54","0.63","354670","15","3.3"
"032","FLORIDA","CRESCENT","FLAGLER PUTNAM","1206","NATURAL","1289.8","70.61","2","10.66","153","18","360","0.7","0.065","0.033","0.13","1.27","1965",NA,"15","65345","67325","5895",NA,"585","655330","661810","33775","50","0.95","549230","17","9.4"
"033","FLORIDA","DOCTORS LAKE","CLAY","1207","NATURAL",NA,"58","12.96","3","0.72","48","815",NA,"0.084","0.028","0.12","1.445","8845",NA,"40","1030","9915","26520",NA,"1460","54105","82085","2295","77","0.77","70110","15","6.3"
"034","FLORIDA","LAKE DORA","LAKE","1208","NATURAL","613.8","22.37","3","3.51","221","105","320","0.4","0.102","0.022","0.24","3.29","2270",NA,"55","38690","41015","6800",NA,"2155","414935","423890","12450","70","1.33","312365","26","18.9"
"035","FLORIDA","EAST LAKE TOHDPEKALIGA","OSCEOLA","1261","NATURAL","797.7","49.3","2.7","6.23","247","10","120","1.5","0.042","0.007","0.07","0.93","4960",NA,"30","30720","35730","7940",NA,"1065","354645","363650","5025","86","0.72","223320","37","7.4"
"036","FLORIDA","LAKE EFFIE","POLK",NA,"NATURAL",NA,"0.41","1",NA,NA,"134","361","0.3","1.48","0.95","0.41","4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"991199",NA,NA,NA,NA
