pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading,,
83,MINNESOTA,WAGONGA LAKE,KANDIYOHI,27B1,NATURAL,66.04,6.54,1.3,0.2,1.4,220,800,0.3,1,0.71,0.48,NA,24499,NA,NA,1646,26145,87642,NA,NA,17193,104834,11197,57,4,34839,67,16,,
84,MINNESOTA,GREEN LAKE,KANDIYOHI,27B2,NATURAL,357.42,21.88,6.4,1.2,3.7,173,340,2.8,0.015,0.009,0.14,NA,844,NA,195,998,2036,4390,NA,7320,73574,85283,662,67,0.09,38912,54,3.9,,
85,MINNESOTA,NEST LAKE,KANDIYOHI,27B3,NATURAL,318.57,3.82,4.6,1.1,190,190,348,1.4,0.04,0.022,0.1,NA,1751,NA,NA,1283,3034,4730,NA,NA,58041,62771,1329,56,0.79,52821,16,16.4,,
86,MINNESOTA,LAKE DARLING,DOUGLAS,27B4,NATURAL,453.25,3.86,6.2,0.9,318,202,400,2.6,0.017,0.009,0.19,NA,NA,NA,NA,730,730,NA,NA,NA,35288,35288,526,28,0.19,32925,7,9.1,,
87,MINNESOTA,LAKE LE HOMME DIEU,DOUGLAS,27B5,NATURAL,109.56,7.06,6.4,0.2,7.9,167,305,2.3,0.019,0.01,0.175,NA,340,NA,104,336,780,1265,NA,3955,16077,21297,168,78,0.11,8100,62,3,,
88,MINNESOTA,LAKE CALHOUN,HENNEPIN,27B6,NATURAL,NA,1.68,10.6,NA,NA,118,470,1.8,0.07,0.036,0.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
89,MINNESOTA,WALLMARK,CHICAGO,27B7,NATURAL,NA,0.47,NA,NA,NA,96,313,0.3,3.66,3.58,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
90,MINNESOTA,LOST LAKE,ST LOUIS,27B8,NATURAL,NA,0.31,3,NA,NA,90,230,0.8,0.346,0.168,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
91,MINNESOTA,LAKE CARLOS,DOUGLAS,27B9,NATURAL,606.06,10.2,13.1,1.1,3.7,90,230,2.8,0.346,0.168,0.3,NA,68,NA,426,912,1406,431,NA,13787,53746,67964,617,56,0.14,37764,44,6.7,,
92,MINNESOTA,LAKE ANDROSIA,BELTRAMI,27C0,NATURAL,1895.88,6.11,7.9,11.9,47,139,265,1.4,0.025,0.01,0.14,NA,11864,NA,36,12649,24549,47624,NA,1351,312272,361247,15546,37,4.02,319011,12,59.1,,
93,MINNESOTA,LAKE BEMIDJI,BELTRAMI,27C1,NATURAL,1631.7,25.98,9.8,10.9,268,157,300,2.2,0.036,0.021,0.09,NA,NA,NA,86,11388,11474,NA,NA,3311,344680,347991,7388,36,0.44,260993,25,13.4,,
94,MINNESOTA,MUD LAKE,ITASCA,27C2,NATURAL,3.11,0.23,1.3,0,243,117,315,0.2,0.408,0.251,0.815,NA,1111,NA,NA,14,1125,2807,NA,NA,662,3469,59,95,4.96,680,80,15.3,,
95,MINNESOTA,ALBERT LEA LAKE,FREEBORN,2702,NATURAL,381.77,9.93,1.1,1.7,73,184,680,0.2,0.958,0.685,0.84,NA,52254,395,14,9927,62590,178268,2639,512,425773,607193,44562,29,6.3,384880,37,61.2,,
