pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading
24,ARKANSAS,DEGRAY RESERVOIR,CLARK HOT SPRING,507,IMPOUNDMENT,1173.3,54.23,14.9,19.76,677,24,69,2.1,0.019,0.004,0.13,0.42,1375,NA,30,10345,11750,4120,NA,1135,188135,193390,10270,13,0.22,268460,NA,3.6
25,ARKANSAS,LAKE ERLING,LAFAYETTE,508,IMPOUNDMENT,1023,28.33,2.1,10.36,67,10,64,1.1,0.054,0.02,0.12,0.665,2615,NA,NA,21630,2615,7840,NA,NA,300735,308575,16095,34,0.86,233290,24,10.9
26,ARKANSAS,GREER’S FERRY RESERVOIR,VAN DUREN CLERURNE,516,IMPOUNDMENT,2986.3,163.9,21.4,49.66,20,18,30,3.3,0.012,0.004,0.14,0.32,4020,NA,25,35355,39400,21205,NA,975,904950,927210,20525,40,0.24,1227040,NA,5.7
27,ARKANSAS,GRAND LAKE,CHICOT,509,NATURAL,NA,5.67,2.1,NA,NA,95,160,0.5,0.101,0.021,0.09,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,ARKANSAS,MILLWOOD RESERVOIR,HEMPSTEAD HOUARD LITTLE RIVER SEVIER,511,IMPOUNDMENT,10733,118.17,2.2,165.29,18,20,66,0.8,0.04,0.008,0.12,0.49,17590,NA,NA,244785,262375,68420,NA,NA,3539935,3606355,279845,NA,2.22,2906545,33,30.5
30,ARKANSAS,NIMROD LAKE,PERRY YELL,512,IMPOUNDMENT,1771.6,14.57,2.5,24.41,17,13,42,0.8,0.039,0.006,0.16,0.435,NA,NA,15,15965,15980,NA,NA,615,541240,NA,30565,NA,1.1,460910,15,37.2
31,ARKANSAS,NORFOLK LAKE,NA,513,IMPOUNDMENT,4682.7,89.03,17.3,50.2,355,155,256,3.6,0.015,0.005,0.32,0.51,820,NA,30,20955,21805,2465,NA,1130,NA,1664340,27840,NA,0.24,1442945,13,13.7
33,IOWA,LAKE AHQUABI,MARREN,1901,IMPOUNDMENT,12.8,0.53,3,0.07,263,104,187,0.6,0.062,0.009,0.335,1.12,NA,NA,100,530,540,NA,NA,390,10965,11355,180,67,1.02,4290,62,21.4
34,IOWA,BIG CREEK RESERVOIR,POLK,1902,IMPOUNDMENT,203.6,3.44,6.7,0.99,269,274,443,1.6,0.046,0.011,6.465,7.185,NA,NA,NA,1800,7800,NA,NA,NA,369210,369210,2055,74,2.27,201830,45,107.3
35,IOWA,BLACK HAWK LAKE,SAC,1903,NATURAL,60.3,3.72,1.7,0.27,271,147,322,0.3,0.185,0.02,0.13,1.715,NA,NA,NA,2010,2035,NA,NA,905,79585,80690,1635,20,0.55,23995,70,21.6
